rating,calories,protein,fat,sodium
3.75,52,0,2,5
3.75,52,1,2,36
4.375,52,2,0,2789
3.125,52,2,2,116
4.375,52,3,4,48
0,52,4,1,2302
3.75,52,4,4,78
3.75,52,5,4,55
0,52,5,4,90
3.75,52,7,1,315
0,53,1,0,1
5,53,1,0,1
3.75,53,1,2,4
4.375,53,1,2,29
3.75,53,1,4,74
3.75,53,2,0,9
4.375,53,2,4,74
2.5,53,3,1,207
4.375,53,3,1,889
3.125,53,3,4,93
4.375,53,4,3,126
4.375,54,1,0,751
3.75,54,1,3,17
4.375,54,1,3,124
3.125,54,1,5,66
5,54,2,0,315
2.5,54,2,1,41
2.5,54,2,3,9
3.75,54,2,4,13
4.375,54,3,0,63
5,54,3,3,42
3.75,54,3,3,148
0,54,4,2,872
3.125,54,4,4,92
4.375,54,5,0,3506
4.375,54,5,1,526
4.375,55,1,0,3
0,55,1,5,99
3.125,55,2,2,91
4.375,55,2,3,71
4.375,55,2,4,32
5,55,4,4,116
3.75,55,6,3,196
3.125,56,0,3,4
4.375,56,0,3,13
4.375,56,1,3,40
4.375,56,1,4,322
0,56,1,6,14
5,56,2,4,78
3.75,56,3,4,130
5,56,4,4,163
3.75,56,5,2,135
5,56,6,1,2398
4.375,57,0,0,2
3.75,57,1,0,11
3.75,57,1,0,43
0,57,1,0,255
5,57,1,0,584
0,57,1,1,22
3.75,57,1,4,25
5,57,2,0,5
4.375,57,2,3,3
5,57,2,3,88
4.375,57,3,3,145
3.125,57,3,4,76
4.375,57,5,0,3505
2.5,57,5,1,61
0,58,0,0,865
4.375,58,0,4,8
0,58,1,0,6
0,58,1,0,84
2.5,58,1,3,1
0,58,1,3,15
4.375,58,1,4,18
4.375,58,1,4,406
5,58,2,2,661
3.125,58,2,3,77
3.125,58,2,3,197
0,58,2,3,484
5,58,2,3,2871
3.125,58,3,5,46
0,58,5,0,69
3.75,59,1,0,3
4.375,59,1,0,138
4.375,59,1,2,23
4.375,59,1,3,26
4.375,59,1,4,5
4.375,59,1,4,152
5,59,2,0,3
3.75,59,2,1,655
4.375,59,2,3,71
4.375,59,2,4,47
1.875,59,3,0,12
4.375,59,4,3,448
5,59,5,3,72
3.75,59,5,3,74
3.75,60,1,0,1
4.375,60,1,0,1
4.375,60,1,0,5
3.75,60,1,0,295
4.375,60,1,4,7
4.375,60,1,5,66
3.75,60,1,5,71
3.75,60,2,1,17
4.375,60,2,1,588
3.125,60,2,2,90
3.75,60,2,2,2874
3.125,60,2,3,49
3.125,60,2,4,345
3.75,60,3,2,571
4.375,60,3,5,155
4.375,60,4,1,815
4.375,60,5,2,137
5,61,0,0,6
4.375,61,1,0,167
0,61,2,0,10
3.75,61,2,3,7
4.375,61,2,3,7
3.75,61,2,3,9
0,61,2,4,4
3.75,61,2,4,135
4.375,61,3,4,79
4.375,61,3,5,57
3.125,61,4,1,61
4.375,61,5,3,140
3.75,61,5,3,190
5,61,6,4,17
5,62,1,0,1437
3.125,62,1,1,256
2.5,62,1,2,309
4.375,62,1,3,30
5,62,1,4,23
4.375,62,1,4,630
2.5,62,1,5,51
4.375,62,1,5,364
1.25,62,1,6,24
0,62,2,0,1451
5,62,2,1,173
3.75,62,2,2,113
3.75,62,2,3,603
3.75,62,2,4,63
3.75,62,2,5,70
3.75,62,2,5,223
3.125,62,3,0,737
3.75,62,3,2,69
0,62,3,2,392
3.75,62,3,3,102
4.375,62,3,3,168
4.375,62,3,3,854
3.75,62,3,3,3023
5,63,0,0,3
4.375,63,1,0,11
3.125,63,1,2,2
3.125,63,1,5,83
4.375,63,2,2,358
0,63,2,4,4
3.125,63,3,1,17
0,63,3,1,350
3.75,63,3,2,75
3.75,63,3,5,88
0,64,0,6,1074
3.75,64,1,3,41
3.75,64,1,4,24
3.75,64,1,5,28
5,64,1,5,78
4.375,64,2,0,2121
3.75,64,2,3,212
2.5,64,2,4,8
4.375,64,2,6,51
3.125,64,3,3,25
4.375,64,3,3,295
3.75,64,3,5,98
3.75,64,5,5,102
4.375,64,5,5,110
4.375,64,6,4,33
0,65,0,0,3
5,65,1,0,11
3.75,65,1,4,32
4.375,65,1,4,143
5,65,2,1,8
4.375,65,2,3,125
5,65,2,4,725
4.375,65,2,5,171
4.375,65,3,4,341
3.75,65,4,4,106
3.75,65,4,5,45
5,66,0,0,195
4.375,66,0,4,19
3.75,66,0,7,74
4.375,66,1,0,14
4.375,66,1,4,12
5,66,2,3,17
4.375,66,2,3,63
3.75,66,2,3,266
3.75,66,2,5,97
4.375,66,3,4,6
0,66,5,5,75
5,67,0,1,7
3.125,67,1,2,74
3.125,67,1,5,79
4.375,67,2,1,152
4.375,67,2,1,651
3.75,67,2,3,94
0,67,2,3,562
3.75,67,2,4,66
3.125,67,3,3,12
4.375,67,3,6,67
3.75,67,4,3,128
3.125,67,4,4,3
4.375,67,4,5,60
4.375,67,5,3,3670
4.375,67,6,4,155
3.75,67,9,3,87
4.375,67,11,1,920
4.375,68,1,0,10
4.375,68,1,0,23
5,68,1,1,5
4.375,68,1,1,37
4.375,68,1,2,38
4.375,68,1,3,95
4.375,68,1,5,3
3.75,68,1,5,468
3.75,68,2,0,146
4.375,68,2,3,111
4.375,68,2,4,102
4.375,68,2,5,146
0,68,3,4,120
4.375,68,5,4,491
4.375,69,0,1,0
0,69,0,8,112
5,69,1,0,0
2.5,69,1,2,2
3.75,69,1,4,0
4.375,69,1,6,165
3.75,69,1,7,29
4.375,69,2,3,7
0,69,3,1,19
4.375,69,4,3,187
3.75,69,4,5,62
0,70,0,0,1
1.25,70,0,0,1
5,70,0,0,1
2.5,70,0,0,17
4.375,70,0,8,48
0,70,1,4,6
3.75,70,1,6,46
0,70,2,3,471
3.75,70,2,6,60
3.125,70,3,2,23
4.375,70,3,2,146
4.375,70,3,2,2875
2.5,70,5,2,55
3.75,70,7,4,34
0,71,1,0,40
4.375,71,1,4,6
4.375,71,1,4,7
3.75,71,3,3,33
3.75,71,3,4,130
3.75,71,4,5,112
3.75,71,4,5,150
3.75,71,6,4,289
3.75,71,6,5,129
0,72,1,1,4
3.75,72,1,4,32
0,72,2,1,462
3.75,72,2,3,47
3.75,72,2,5,54
2.5,72,4,5,168
0,73,0,0,5
5,73,1,5,361
0,73,1,6,17
3.75,73,1,6,27
0,73,2,0,29
4.375,73,2,1,217
3.125,73,2,4,4580
3.75,73,2,5,95
4.375,73,2,6,112
4.375,73,3,6,82
3.125,73,6,3,481
0,74,0,0,1
0,74,0,0,9
3.75,74,0,8,92
0,74,1,0,42
4.375,74,1,0,467
3.125,74,1,0,578
2.5,74,1,4,2
2.5,74,1,4,15
4.375,74,1,4,19
3.75,74,1,7,92
3.125,74,2,0,416
3.125,74,2,4,67
3.75,74,2,4,75
4.375,74,2,6,99
4.375,74,3,4,222
3.75,74,3,4,287
3.125,74,4,4,55
1.875,74,4,4,576
4.375,74,7,5,260
4.375,75,0,0,1
4.375,75,0,8,71
5,75,1,0,1425
4.375,75,1,4,14
2.5,75,1,5,52
2.5,75,1,6,51
5,75,3,4,204
4.375,75,4,2,229
5,75,4,4,621
3.75,76,0,1,0
5,76,0,8,106
4.375,76,2,0,2978
2.5,76,2,3,81
0,76,2,5,15
3.125,76,2,5,59
3.75,76,2,5,153
3.75,76,3,1,843
4.375,76,3,4,329
5,76,11,3,78
5,77,0,0,32
4.375,77,0,0,208
4.375,77,1,2,7
5,77,1,4,5
4.375,77,1,4,48
0,77,1,7,442
0,77,2,1,17
3.125,77,2,3,50
3.75,77,2,5,570
3.75,77,2,6,49
3.75,77,2,7,70
0,77,3,3,2885
3.75,77,4,4,111
3.125,77,4,5,112
0,77,5,2,173
3.75,77,5,2,181
0,78,0,0,5
5,78,0,0,129
3.75,78,1,5,50
0,78,1,6,14
4.375,78,2,4,21
4.375,78,3,7,180
4.375,78,4,4,534
4.375,78,4,7,103
0,79,0,0,2
5,79,1,0,1
3.75,79,1,4,26
3.75,79,1,5,579
4.375,79,2,4,8
5,79,2,5,28
4.375,79,2,6,168
4.375,79,2,8,183
4.375,79,3,4,233
3.75,79,3,6,100
1.25,79,4,1,24
4.375,79,4,4,162
3.75,79,5,4,1375
0,79,7,5,81
4.375,80,0,0,1
3.75,80,0,0,6
3.75,80,1,0,2
0,80,1,0,11
3.75,80,1,4,45
3.75,80,1,7,403
4.375,80,1,8,178
3.125,80,2,3,90
4.375,80,2,5,10
4.375,80,2,5,17
3.75,80,3,3,1493
3.75,80,5,4,92
4.375,80,6,4,310
4.375,80,7,4,544
3.125,81,1,3,199
3.75,81,1,5,36
4.375,81,1,6,4
5,81,1,7,329
3.125,81,2,3,85
3.75,81,3,1,41
4.375,81,3,3,943
4.375,81,4,4,146
4.375,81,4,4,215
3.75,81,4,5,245
3.125,81,5,4,165
4.375,82,0,9,69
0,82,1,0,2152
0,82,1,0,2511
0,82,1,4,22
4.375,82,1,4,64
4.375,82,2,1,8
3.75,82,2,4,20
3.75,82,2,4,409
3.125,82,2,5,13
5,82,2,7,349
4.375,82,3,3,67
4.375,82,3,4,33
4.375,82,4,5,116
4.375,82,4,6,107
4.375,82,5,3,71
4.375,82,5,4,6
3.125,82,8,1,408
5,82,8,5,24
3.125,83,1,1,14
3.75,83,1,4,18
4.375,83,1,6,7
3.125,83,1,7,11
4.375,83,2,5,15
3.75,83,2,5,135
4.375,83,2,6,31
4.375,83,3,5,228
4.375,83,3,7,63
3.75,83,5,0,35
2.5,83,6,1,590
3.75,84,0,0,5
3.75,84,0,9,10
1.875,84,1,1,19
0,84,1,4,11
5,84,1,5,20
5,84,1,5,60
3.75,84,1,6,44
4.375,84,1,8,40
4.375,84,2,0,63
0,84,2,1,2873
0,84,2,4,598
5,84,2,6,146
3.125,84,3,5,380
4.375,84,3,6,203
1.25,84,5,4,652
4.375,84,11,4,413
0,85,1,0,8
5,85,1,1,988
4.375,85,1,3,33
3.125,85,1,6,194
4.375,85,2,1,28
5,85,2,1,39
3.75,85,2,4,299
5,85,2,7,13
3.75,85,3,5,520
3.125,85,3,6,101
1.25,86,0,3,10
5,86,1,0,2
3.125,86,1,3,59
3.75,86,1,3,69
4.375,86,1,5,3
4.375,86,1,5,30
3.75,86,1,7,40
3.75,86,2,6,77
4.375,86,3,0,3727
3.75,86,3,1,339
3.125,86,4,4,158
3.75,86,4,7,18
2.5,86,6,6,2402
0,86,9,4,918
3.75,87,1,2,119
3.125,87,1,3,81
3.75,87,1,4,26
0,87,1,6,30
3.75,87,1,8,15061
3.75,87,2,4,28
3.75,87,2,5,2
3.75,87,3,1,305
4.375,87,3,6,22
3.75,87,3,6,321
3.75,87,4,3,49
4.375,87,5,4,59
5,87,5,4,230
4.375,87,7,3,133
3.75,88,0,0,4
3.75,88,0,9,0
0,88,1,0,2
4.375,88,1,4,57
1.25,88,1,5,52
5,88,1,5,66
4.375,88,1,6,6
0,88,1,7,589
4.375,88,1,8,76
0,88,2,0,0
5,88,2,5,27
3.75,88,2,6,294
5,88,3,1,3194
3.75,88,3,5,191
4.375,88,3,5,308
0,88,4,3,610
3.75,88,4,6,348
4.375,88,5,7,209
3.75,88,8,5,173
0,89,0,0,1
5,89,1,0,2
5,89,1,0,52
5,89,1,1,198
0,89,1,5,30
5,89,1,6,1161
4.375,89,1,7,294
0,89,2,0,4
3.75,89,2,5,123
3.125,89,2,5,919
4.375,89,2,6,58
0,89,3,2,164
3.125,89,3,4,9
4.375,89,3,7,164
4.375,89,4,5,230
4.375,89,5,5,102
3.75,89,6,5,726
3.75,89,6,6,291
3.75,89,7,1,1224
2.5,89,10,1,615
5,89,15,1,488
3.75,90,1,0,136
3.75,90,1,5,17
5,90,1,9,136
4.375,90,1,9,191
0,90,2,1,1
5,90,2,1,29
1.875,90,2,4,108
4.375,90,2,5,18
3.75,90,2,6,34
4.375,90,3,1,3603
4.375,90,3,3,853
4.375,90,3,4,725
0,90,3,5,487
0,90,4,1,3836
3.125,90,4,3,48
4.375,90,4,3,235
4.375,90,4,8,149
0,90,5,3,74
0,91,1,0,3
5,91,1,0,11
0,91,1,0,14
3.75,91,1,4,25
0,91,1,5,41
0,91,1,7,13
3.75,91,1,8,37
4.375,91,1,9,35
4.375,91,1,9,85
5,91,2,4,35
0,91,2,5,66
3.75,91,2,5,459
3.75,91,2,6,32
4.375,91,2,8,320
1.25,91,3,0,31
3.75,91,3,3,136
3.75,91,4,5,407
3.75,91,5,4,1494
4.375,91,5,5,248
5,91,13,4,1214
5,92,0,0,23
2.5,92,1,4,13
4.375,92,1,4,79
4.375,92,1,6,51
0,92,1,6,325
4.375,92,1,7,189
3.75,92,2,5,48
3.75,92,3,7,90
3.75,92,4,2,341
3.75,92,5,5,314
4.375,92,5,6,65
3.75,92,7,3,39
5,92,7,5,90
3.125,92,12,1,291
4.375,93,1,0,415
0,93,1,4,7
5,93,1,5,39
0,93,1,10,119
3.75,93,2,1,188
3.75,93,2,6,7
0,93,2,6,26
4.375,93,2,7,115
4.375,93,2,7,251
4.375,93,2,9,76
3.75,93,3,6,444
0,93,4,1,2168
5,93,4,2,254
3.75,93,4,3,92
4.375,93,4,5,11298
5,93,4,7,110
4.375,93,5,4,60
4.375,94,0,0,4
5,94,1,0,1
0,94,1,0,3
4.375,94,1,4,81
0,94,1,6,165
3.75,94,1,7,34
4.375,94,1,9,37
4.375,94,2,1,4
3.75,94,2,5,11
4.375,94,2,7,36
3.125,94,2,7,64
5,94,3,1,49
4.375,94,3,5,144
3.75,94,4,2,456
3.75,94,9,4,688
3.75,94,15,1,480
2.5,95,0,4,437
3.75,95,0,10,2865
5,95,1,0,13
5,95,1,0,395
3.75,95,1,4,46
4.375,95,1,6,55
0,95,1,7,103
4.375,95,2,6,152
4.375,95,2,7,664
0,95,3,4,198
4.375,95,4,0,2337
4.375,95,5,6,152
5,95,5,7,201
4.375,95,7,1,2329
3.75,95,7,5,239
3.75,95,12,4,329
0,96,0,0,2
3.75,96,0,0,2
0,96,1,4,31
5,96,2,0,134
5,96,2,1,722
2.5,96,2,4,216
4.375,96,2,5,48
4.375,96,2,6,141
3.75,96,2,7,5
4.375,96,2,7,570
3.75,96,2,8,359
4.375,96,2,9,153
0,96,4,4,69
0,96,4,7,108
0,97,0,0,7
3.75,97,1,0,2
3.75,97,1,0,3
4.375,97,1,0,790
3.75,97,1,4,40
3.125,97,1,6,131
3.125,97,1,9,15
0,97,2,2,656
3.125,97,2,3,24
4.375,97,2,4,81
4.375,97,2,6,6
4.375,97,2,8,463
4.375,97,3,1,2715
4.375,97,4,3,59
3.75,97,4,5,52
3.75,97,4,5,466
2.5,98,0,0,0
0,98,0,0,3
5,98,0,0,4
5,98,1,0,40
4.375,98,1,9,159
1.25,98,2,4,216
3.125,98,2,7,48
4.375,98,2,7,494
4.375,98,3,4,134
3.75,98,3,5,89
3.75,98,3,7,7
4.375,98,3,9,175
4.375,98,4,6,154
3.75,98,8,2,1091
3.75,99,0,0,2
5,99,0,9,151
5,99,1,6,23
4.375,99,1,6,82
4.375,99,2,0,331
4.375,99,2,1,18
3.75,99,2,2,89
3.75,99,2,5,83
3.75,99,2,6,65
5,99,2,8,96
4.375,99,3,1,493
3.75,99,3,3,134
3.75,99,3,4,950
3.75,99,3,5,161
2.5,99,3,9,229
4.375,99,4,5,25
4.375,99,5,6,258
0,100,0,0,3
0,100,0,0,31
4.375,100,0,0,2866
4.375,100,1,5,135
1.875,100,2,3,182
4.375,100,2,4,29
3.75,100,2,5,35
5,100,2,5,97
3.75,100,2,7,9
0,100,2,9,18
3.75,100,2,9,153
4.375,100,3,2,127
4.375,100,3,3,251
5,100,3,6,5
4.375,100,5,8,123
3.75,100,6,2,13
4.375,100,11,6,37
0,101,0,0,1
3.75,101,0,10,48
3.75,101,1,0,3
3.75,101,1,3,16
4.375,101,1,4,58
5,101,1,7,6
0,101,1,7,57
3.75,101,1,8,441
3.75,101,2,1,38
4.375,101,3,7,364
2.5,101,5,4,193
0,101,5,6,462
3.75,101,5,7,373
0,101,7,0,3526
3.75,101,8,6,52
4.375,102,0,0,1
4.375,102,0,0,2
3.75,102,1,0,43
3.125,102,1,1,2
3.75,102,1,5,394
3.75,102,1,6,30
4.375,102,1,8,1913
3.125,102,1,10,10
0,102,2,1,15
4.375,102,2,2,40
4.375,102,2,7,523
3.125,102,2,10,181
3.125,102,3,8,43
3.75,102,3,9,68
0,102,4,1,2183
3.125,102,4,4,48
0,102,5,2,30
4.375,103,0,0,10
4.375,103,1,0,4
5,103,1,8,4
4.375,103,1,9,7
3.75,103,1,9,88
3.75,103,2,2,3
1.25,103,2,7,52
4.375,103,2,8,98
4.375,103,2,8,134
4.375,103,3,6,204
4.375,103,3,6,236
3.75,103,3,10,32
3.75,103,6,3,143
3.75,103,7,3,295
3.75,103,7,7,76
4.375,103,10,6,37
3.75,104,0,0,1
0,104,0,0,5
0,104,1,0,2
3.75,104,1,0,38
3.75,104,1,9,162
3.125,104,2,3,13
3.75,104,2,8,32
2.5,104,3,3,81
4.375,104,3,3,170
3.75,104,3,9,269
3.75,104,4,5,762
4.375,104,4,6,357
0,104,5,2,2882
3.75,104,5,4,969
3.75,104,6,4,434
3.125,105,1,7,31
3.75,105,2,0,47
3.75,105,2,7,30
4.375,105,2,8,14
4.375,105,3,3,50
3.75,105,3,10,106
3.75,105,4,7,493
3.75,105,5,1,70
1.25,105,5,7,130
3.75,105,6,9,281
1.25,105,9,3,382
3.75,105,10,3,121
4.375,105,16,2,1914
3.75,106,1,0,4
4.375,106,2,6,49
4.375,106,2,6,448
3.75,106,3,6,72
4.375,106,3,7,37
4.375,106,3,7,127
3.125,106,4,7,9
4.375,106,4,8,194
4.375,106,4,9,113
3.125,106,5,7,284
3.75,106,6,7,248
5,106,9,7,54
3.125,106,11,4,95
2.5,107,0,0,0
5,107,0,0,15
3.75,107,1,0,3
3.75,107,1,0,10
5,107,1,0,14
4.375,107,1,5,48
3.75,107,1,7,74
2.5,107,1,7,151
4.375,107,2,0,913
1.25,107,2,3,22
3.75,107,2,5,184
3.75,107,2,6,162
4.375,107,2,7,260
4.375,107,2,9,6
3.75,107,3,4,27
3.75,107,3,5,12
5,107,3,8,360
4.375,107,3,9,24
2.5,107,3,9,35
3.75,107,3,9,71
5,107,3,9,280
5,107,5,7,344
0,108,0,0,3
0,108,0,0,4
5,108,1,0,2
4.375,108,2,1,4
4.375,108,2,5,72
3.75,108,2,5,242
4.375,108,2,6,68
3.75,108,2,7,309
4.375,108,3,2,623
1.875,108,3,7,207
3.75,108,3,9,68
4.375,108,4,7,38
0,108,5,9,5
4.375,108,6,4,965
3.125,109,0,8,55
4.375,109,1,4,82
4.375,109,1,5,81
3.75,109,1,6,80
5,109,1,9,66
